Crosswalk2023_CBSA Code,Crosswalk2023_CBSA Title,Crosswalk2023_State Name,NRI_AVLN_EALPE,NRI_CFLD_EALPE,NRI_CWAV_EALPE,NRI_ERQK_EALPE,NRI_HAIL_EALPE,NRI_HWAV_EALPE,NRI_HRCN_EALPE,NRI_ISTM_EALPE,NRI_LNDS_EALPE,NRI_LTNG_EALPE,NRI_RFLD_EALPE,NRI_SWND_EALPE,NRI_TRND_EALPE,NRI_TSUN_EALPE,NRI_VLCN_EALPE,NRI_WFIR_EALPE,NRI_WNTW_EALPE,NRI_AVLN_EALB,NRI_CFLD_EALB,NRI_CWAV_EALB,NRI_ERQK_EALB,NRI_HAIL_EALB,NRI_HWAV_EALB,NRI_HRCN_EALB,NRI_ISTM_EALB,NRI_LNDS_EALB,NRI_LTNG_EALB,NRI_RFLD_EALB,NRI_SWND_EALB,NRI_TRND_EALB,NRI_TSUN_EALB,NRI_VLCN_EALB,NRI_WFIR_EALB,NRI_WNTW_EALB,NRI_AVLN_EXPPE,NRI_CFLD_EXPPE,NRI_CWAV_EXPPE,NRI_ERQK_EXPPE,NRI_HAIL_EXPPE,NRI_HWAV_EXPPE,NRI_HRCN_EXPPE,NRI_ISTM_EXPPE,NRI_LNDS_EXPPE,NRI_LTNG_EXPPE,NRI_RFLD_EXPPE,NRI_SWND_EXPPE,NRI_TRND_EXPPE,NRI_TSUN_EXPPE,NRI_VLCN_EXPPE,NRI_WFIR_EXPPE,NRI_WNTW_EXPPE,NRI_AVLN_EXPB,NRI_CFLD_EXPB,NRI_CWAV_EXPB,NRI_ERQK_EXPB,NRI_HAIL_EXPB,NRI_HWAV_EXPB,NRI_HRCN_EXPB,NRI_ISTM_EXPB,NRI_LNDS_EXPB,NRI_LTNG_EXPB,NRI_RFLD_EXPB,NRI_SWND_EXPB,NRI_TRND_EXPB,NRI_TSUN_EXPB,NRI_VLCN_EXPB,NRI_WFIR_EXPB,NRI_WNTW_EXPB,NRI_BUILDVALUE,NRI_POPULATION,NRI_AREA,Migration16to20_A_Inflow_Estimate,Migration16to20_A_Outflow_Estimate,Migration16to20_A_NetMigration_Estimate,Migration16to20_A_GrossMigration_Estimate,Migration16to20_A_Inflow_MOE,Migration16to20_A_Outflow_MOE,Migration16to20_A_NetMigration_MOE,Migration16to20_A_GrossMigration_MOE,HousingPI25_Metro Area,HousingPI25_GEOID.1,HousingPI25_1980,HousingPI25_1981,HousingPI25_1982,HousingPI25_1983,HousingPI25_1984,HousingPI25_1985,HousingPI25_1986,HousingPI25_1987,HousingPI25_1988,HousingPI25_1989,HousingPI25_1990,HousingPI25_1991,HousingPI25_1992,HousingPI25_1993,HousingPI25_1994,HousingPI25_1995,HousingPI25_1996,HousingPI25_1997,HousingPI25_1998,HousingPI25_1999,HousingPI25_2000,HousingPI25_2001,HousingPI25_2002,HousingPI25_2003,HousingPI25_2004,HousingPI25_2005,HousingPI25_2006,HousingPI25_2007,HousingPI25_2008,HousingPI25_2009,HousingPI25_2010,HousingPI25_2011,HousingPI25_2012,HousingPI25_2013,HousingPI25_2014,HousingPI25_2015,HousingPI25_2016,HousingPI25_2017,HousingPI25_2018,HousingPI25_2019,HousingPI25_2020,HousingPI25_2021,HousingPI25_2022,HousingPI25_2023,HousingPI25_2024,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
10180,"Abilene, TX",Texas,0.0,0.0,485441.0292653315,19906.666438610115,483001.07148193166,1375110.4192920849,2751.9638607027805,118521.39309120992,40474.25590438762,246081.19388163387,799068.3110358447,333215.29484590166,2730724.5486511206,0.0,0.0,60137.65934502537,957269.6715042226,0.0,0.0,5501.592998838151,67120.4,8539877.171907127,702.602737372421,188083.44162667703,63924.929033257074,10175.72038740282,30008.06811461826,3730847.3876244416,1285781.7365737092,1894376.574575805,0.0,0.0,5298566.0549649,29422.018863275563,0.0,0.0,2046680800000.0,2048316400000.0,2046680800000.0,2046680800000.0,2046680800000.0,2046411449150.2207,24676263430.46356,2046680800000.0,315200650271.37946,2046680800000.0,2046680800000.0,0.0,0.0,309913109617.88586,2046680800000.0,0.0,0.0,31702035918.0,31701499000.0,31702035918.0,31702035918.0,31702035918.0,31699663206.956955,464553290.0490873,31702035918.0,4136462362.003951,31702035918.0,31702035918.0,0.0,0.0,4755645584.111636,31702035918.0,31702035918.0,176438.0,2785.54564392,14074.0,12714.0,1360.0,26788.0,1184.8316336087587,1675.5778107864762,2061.050217728816,2043.9329734607247,"Abilene, TX",10180.0,3.1,2.9,2.9,2.9,2.7,2.6,2.6,2.4,2.2,2.1,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.9,2.9,2.9,3.0,3.3,3.2,3.3,3.3,3.4,3.6,3.8,4.2,3.9,4.0,74433.0,75307.0,76199.0,77324.0,79031.0,78666.0,80760.0,82450.0,84633.0,86805.0,71545.0,72353.0,73380.0,74757.0,76665.0,74302.0,77106.0,79593.0,81692.0,83807.0,2888.0,2954.0,2819.0,2567.0,2366.0,4364.0,3654.0,2857.0,2941.0,2998.0
10380,"Aguadilla, PR",Puerto Rico,0.0,1170.8389644259412,0.0,26587657.41991209,3692.194710421587,0.0,5023006.6109226085,0.0,145851.81858365895,0.0,1457751.478388192,9.618076427013932,51050.4797591389,332.3270943656878,0.0,0.0,0.0,0.0,629908.0136038355,0.0,33420778.5,365.9205593191493,0.0,143821865.49981532,0.0,38234.61469882419,0.0,32988626.991204232,0.5834053380635209,46125.37777177055,1008.5500967142036,0.0,0.0,0.0,0.0,32814341322.96312,0.0,2943708800000.0,2940240400000.0,0.0,2940090428160.473,0.0,894206680887.0034,0.0,121920518541.22592,2940240400000.0,2940240400000.0,152301015115.0389,0.0,0.0,0.0,0.0,443623361.0240162,0.0,33902307000.0,33902584970.0,0.0,33901386242.579254,0.0,8718904894.25172,0.0,1605079626.2665205,33902584970.0,33902584970.0,2228158213.009643,0.0,0.0,0.0,33902584970.0,253469.0,438.26975907,3447.0,11070.0,-7623.0,14517.0,639.0492938733287,1348.8502511398365,1486.4602248294436,1498.2746744172111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73721.0,76566.0,77070.0,76029.0,76190.0,,81928.0,85933.0,87882.0,90760.0,62738.0,65351.0,66350.0,67260.0,68393.0,,74641.0,79549.0,81427.0,84395.0,10983.0,11215.0,10720.0,8769.0,7797.0,,7287.0,6384.0,6455.0,6365.0
10420,"Akron, OH",Ohio,0.0,0.0,283878.5963317102,167456.81867958343,118503.30189041344,425043.9732941637,9718.142791971344,3145.4358546115127,36571.09220818107,564129.6671023475,1064910.7512469967,388028.22721967055,3602454.637070776,0.0,0.0,12664.623334349804,282251.8890092788,0.0,0.0,36837.232424725546,713877.9,8411590.475358248,5637.09523284057,701444.7723383036,246113.6528486093,265169.68179657194,40461.01768295799,6909351.282120796,1231987.885801872,6071355.3062747065,0.0,0.0,145152.91754269664,1330482.15002282,0.0,0.0,8144510800000.0,8145740400000.0,8144510800000.0,8144510800000.0,8137756592143.344,8141961196689.369,2079609333870.9824,8144510800000.0,70557530597.04718,8144510800000.0,8144510800000.0,0.0,0.0,2094121034043.996,8144510800000.0,0.0,0.0,141164737358.0,141162976000.0,141164737358.0,141164737358.0,141000515893.57248,141142356431.5668,34504153696.4471,141164737358.0,1586962429.4748044,141164737358.0,141164737358.0,0.0,0.0,36268231240.58101,141164737358.0,141164737358.0,702113.0,933.51760476,29065.0,29891.0,-826.0,58956.0,1763.1520070600832,1855.3956451387933,2517.3261608301773,2601.7822737500537,"Akron, OH",10420.0,2.2,2.2,1.9,2.1,1.9,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.5,2.5,2.4,2.5,2.6,2.6,2.6,2.4,2.5,2.6,2.7,2.7,2.6,2.7,2.5,2.5,2.1,1.8,2.3,1.9,2.2,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.8,2.9,359963.0,363460.0,364564.0,361726.0,364455.0,355513.0,352021.0,353401.0,357656.0,360246.0,341928.0,345015.0,346409.0,345256.0,349068.0,327256.0,333266.0,339491.0,344302.0,344313.0,18035.0,18445.0,18155.0,16470.0,15387.0,28257.0,18755.0,13910.0,13354.0,15933.0
10500,"Albany, GA",Georgia,0.0,0.0,0.0,160196.1170468251,88644.91017262934,404583.23539269983,223496.170798834,10409.303183312142,69599.99999999453,1181405.7466568989,1286569.7244115316,262173.5375683358,4186686.7906685295,0.0,0.0,5622.599320453527,53869.56779631921,0.0,0.0,0.0,599958.7999999999,64157.03018518463,2867.9848072899763,9665808.116026966,4557.476939164264,16969.010263731485,40982.78987300923,1721278.8020107653,724856.6444656369,2865153.478565274,0.0,0.0,44752.54615892338,14187.431391210232,0.0,0.0,0.0,1727495200000.0,1721266000000.0,1721266000000.0,1721266000000.0,1716562538288.775,135706896740.87944,1721266000000.0,140697843153.6391,1721266000000.0,1721266000000.0,0.0,0.0,504214035373.8021,1721266000000.0,0.0,0.0,0.0,28386504000.0,28387026751.0,28387026751.0,28387026751.0,28355579206.886528,3327192078.283267,28387026751.0,2214117886.6391745,28387026751.0,28387026751.0,0.0,0.0,6688245354.354303,28387026751.0,28387026751.0,148385.0,1625.06546085,7484.0,8209.0,-725.0,15693.0,921.422812828074,1112.3007686772494,1464.9276432643355,1423.9353917927597,"Albany, GA",10500.0,3.2,3.3,3.2,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.6,2.5,2.5,2.6,2.6,2.7,2.8,2.9,2.9,2.9,3.0,3.1,3.1,3.2,3.1,2.9,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.2,3.4,3.6,4.1,4.2,4.3,63791.0,64768.0,66733.0,65148.0,64677.0,64087.0,63637.0,63118.0,62583.0,62380.0,59256.0,60637.0,63005.0,61939.0,61819.0,59370.0,60273.0,60615.0,60158.0,59789.0,4535.0,4131.0,3728.0,3209.0,2858.0,4717.0,3364.0,2503.0,2425.0,2591.0
10540,"Albany, OR",Oregon,36919.52184,0.0,1485.855904878919,13423931.732751086,28589.341967519023,20239.22778472325,0.0,400460.0373843284,295959.9129793178,22683.62789581571,294093.0616967577,15775.762078966083,50715.94768045384,0.0,4939.896438944337,399.0329732943273,139953.91135038694,47.483807,0.0,2.497487026403309,26225283.6,644.4270561055729,26732.02548939612,0.0,30009.406376409475,1684040.0788119207,6694.686282266019,1126202.680078593,16967.57731714406,80726.80456452137,0.0,1.94119010451964,33067.877212519365,327.18672428732634,58000000.0,0.0,1693600000.0,1491876000000.0,1491481600000.0,1491481600000.0,0.0,1491475741013.1553,325467356670.7579,1491481600000.0,60670305244.18096,1491481600000.0,1491481600000.0,0.0,48030448470.085815,100230800589.92856,1491481600000.0,1000000.0,0.0,37063997.0,25310440000.0,25310768522.0,25310768522.0,0.0,25310734269.345493,5317983937.344627,25310768522.0,1340608232.6727004,25310768522.0,25310768522.0,0.0,987465631.4716415,1879368837.2471805,25310768522.0,25310768522.0,128576.0,2331.9079356300003,7909.0,8064.0,-155.0,15973.0,982.0651709535372,1050.0371422002177,1462.427092199813,1412.9621367892346,"Albany, OR",10540.0,3.2,2.9,2.8,2.8,2.5,2.4,2.3,2.1,2.0,2.0,2.2,2.3,2.5,2.8,3.0,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.7,3.7,3.7,4.0,4.4,4.5,4.3,4.2,3.9,3.8,3.6,3.7,3.9,4.0,4.1,4.4,4.6,4.5,4.5,5.1,5.7,5.7,5.7,55136.0,56167.0,57042.0,57912.0,58097.0,58908.0,60462.0,61229.0,61286.0,61796.0,51524.0,53005.0,54376.0,55260.0,55612.0,54360.0,57099.0,58558.0,58779.0,58938.0,3612.0,3162.0,2666.0,2652.0,2485.0,4548.0,3363.0,2671.0,2507.0,2858.0
10580,"Albany-Schenectady-Troy, NY",New York,0.0,26746.64921837664,1224679.154959455,426262.2846544438,515003.0721640322,423730.1123957564,248295.7800738408,415670.934498311,147879.95106989233,2188791.85428566,2845147.647933456,1077499.7915060252,11601467.53266647,0.0,0.0,873.0735251460464,64418.85885932348,0.0,131766.48404502537,6909.189769924895,2113853.2,58793.92668359011,1.216596799420907,10745431.351637349,2543519.479044323,522405.86528663134,117807.91199737006,7688334.888179726,692013.2939152913,4121254.62465936,0.0,0.0,168374.8382023214,103514.41612718624,0.0,14015979742.68616,10426764400000.0,10431439200000.0,10426764400000.0,10426764400000.0,10425632648930.406,10426058409287.088,3739528172764.981,10426764400000.0,217198387787.68015,10426764400000.0,10426764400000.0,0.0,0.0,2302181662427.808,10426764400000.0,0.0,863407992.0461125,169771794546.0,169769389000.0,169771794546.0,169771794546.0,169758892830.43256,169760881688.3321,62047027825.11142,169771794546.0,5042949019.836025,169771794546.0,169771794546.0,0.0,0.0,38527936372.11843,169771794546.0,169771794546.0,898859.0,2907.37828446,37519.0,35770.0,1749.0,73289.0,2076.450577307344,2028.3409476712736,2902.1450687379497,2902.1206039722056,"Albany-Schenectady-Troy, NY",10580.0,2.3,2.3,2.3,2.3,2.4,2.5,2.8,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,2.9,2.8,2.7,2.6,2.4,2.4,2.6,2.7,3.0,3.3,3.6,3.7,3.6,3.5,3.3,3.4,3.3,3.4,3.3,3.3,3.2,3.1,3.0,2.9,3.0,3.1,3.3,3.4,3.6,3.7,452372.0,455127.0,456239.0,457792.0,458969.0,455958.0,449723.0,451921.0,458175.0,456861.0,432143.0,436080.0,436817.0,440655.0,442828.0,424420.0,429952.0,438060.0,443826.0,441610.0,20229.0,19047.0,19422.0,17137.0,16141.0,31538.0,19771.0,13861.0,14349.0,15251.0
10740,"Albuquerque, NM",New Mexico,0.0,0.0,112315.9400168464,9955888.731908737,133893.13120859102,0.0,0.0,20347.170249653784,82295.83574289775,1825047.912825184,10992794.851365164,258283.25048665144,842327.1775333731,0.0,0.0,4069.0033744899274,83697.74852836532,0.0,0.0,67.99621170359445,25121903.7,1189266.588291738,0.0,0.0,21002.44393903923,125352.47238057236,22934.205230205927,2343843.5812029946,79559.71561195985,929170.2510871596,0.0,0.0,3745743.6418123264,22878.846143869792,0.0,0.0,613518999001.8896,10631724800000.0,10615856000000.0,0.0,0.0,10615856000000.0,625397958844.7123,10615856000000.0,598693739196.2576,10615856000000.0,10615856000000.0,0.0,0.0,800635572225.6946,10615855994705.76,0.0,0.0,10052201230.395748,153788997000.0,153791290418.0,0.0,0.0,153791290418.0,9917802828.19751,153791290418.0,9833463095.089775,153791290418.0,153791290418.0,0.0,0.0,12559649899.621172,153791290264.6751,153791290418.0,915160.0,9389.52181986,32109.0,36067.0,-3958.0,68176.0,2198.8647070704465,2203.052654840551,3126.0190338512016,3099.0701831355805,"Albuquerque, NM",10740.0,3.5,3.5,3.2,3.4,3.3,3.3,3.3,3.3,3.2,3.1,3.0,3.0,3.1,3.2,3.3,3.4,3.4,3.5,3.4,3.3,3.3,3.4,3.3,3.3,3.4,3.8,4.1,4.3,4.1,3.8,3.9,3.6,3.6,3.7,3.7,3.7,3.8,3.9,3.8,4.0,4.2,4.8,5.2,5.2,5.3,423411.0,434627.0,437006.0,437532.0,442237.0,432465.0,441823.0,447518.0,457244.0,464045.0,397057.0,408349.0,412634.0,417401.0,421821.0,399796.0,413016.0,431011.0,441611.0,446147.0,26354.0,26278.0,24372.0,20131.0,20416.0,32669.0,28807.0,16507.0,15633.0,17898.0
10780,"Alexandria, LA",Louisiana,0.0,0.0,414121.43360091,125114.4310594955,69396.24069431034,1206245.2451435009,219782.09287421187,169689.1140544641,34799.99999999859,741165.5632189566,359263.36074188445,671818.9725926646,1144363.8294419409,0.0,0.0,16963.018328610528,35640.71421048098,0.0,0.0,10165.359846632198,408775.6,37818.15716022621,504.1456698802814,10702697.10294168,109210.11244670136,8999.999999999993,25268.746016091914,1770423.768287759,213290.69685944295,1810249.0724643315,0.0,0.0,297459.9999668423,4085.374045106937,0.0,0.0,1504102400000.0,1765427200000.0,1760717600000.0,1760717600000.0,1760318053218.0295,1760715117120.223,109515842174.33672,1760717600000.0,217958418992.1985,1760717600000.0,1760717600000.0,0.0,0.0,105103233948.13742,1760717600000.0,0.0,0.0,23305655576.0,26395309000.0,26395818315.0,26395818315.0,26393476757.300533,26395779406.76108,1543461371.880846,26395818315.0,3175553993.7265296,26395818315.0,26395818315.0,0.0,0.0,1322307913.537572,26395818315.0,26395818315.0,151786.0,2046.78850974,6706.0,6345.0,361.0,13051.0,1019.0515197967176,969.817508606645,1428.4754110589374,1385.6904416210714,"Alexandria, LA",10780.0,3.2,3.3,3.4,3.5,3.4,3.3,3.4,3.2,3.0,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.2,3.3,3.2,3.1,3.0,3.1,3.2,3.3,3.4,3.4,66329.0,67527.0,66145.0,65591.0,65127.0,64232.0,64986.0,65286.0,64396.0,64356.0,62017.0,63444.0,62494.0,62237.0,61996.0,60076.0,62334.0,63206.0,62172.0,61719.0,4312.0,4083.0,3651.0,3354.0,3131.0,4156.0,2652.0,2080.0,2224.0,2637.0
10900,"Allentown-Bethlehem-Easton, PA-NJ","New Jersey, Pennsylvania",0.0,0.0,303436.641905305,295651.9113550597,311852.78378649394,4829059.186065818,433972.69349813287,673726.0209326007,83207.26254983233,1897326.9004808683,591918.0598536134,2922317.662408332,5256772.609407155,0.0,0.0,804.6591750100022,2027173.740261684,0.0,0.0,732.5169141849836,1289252.4,166881.6224323105,4.288530185471549,17346020.165486094,127788.60108595896,538874.6403671053,254229.0456007531,13113703.693574268,4595381.2086892165,5078180.749742897,0.0,0.0,69638.03103296041,532491.3554551179,0.0,0.0,750844800000.0,9997912400000.0,9987843600000.0,9987843600000.0,9985043550403.826,9984504412286.498,4159429038454.625,9987843600000.0,171227431279.5923,9987843600000.0,9987843600000.0,0.0,0.0,809524837043.5116,9987843600000.0,0.0,0.0,11350313784.0,171702904000.0,171705015379.0,171705015379.0,171678963434.46985,171671386000.719,67133167606.478455,171705015379.0,3972520656.591012,171705015379.0,171705015379.0,0.0,0.0,15056535017.986773,171705015379.0,171705015379.0,861021.0,1490.34466854,36790.0,32125.0,4665.0,68915.0,2271.492240796785,1931.1871996261784,2915.9794237957167,3046.539019937214,"Allentown-Bethlehem-Easton, PA-NJ",10900.0,2.5,2.5,2.4,2.3,2.3,2.4,2.5,2.9,3.2,3.1,3.1,3.0,3.0,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.5,2.6,3.4,3.8,4.1,4.7,4.7,4.7,4.3,3.9,4.1,3.4,3.4,3.1,3.0,2.9,3.0,2.9,3.0,3.0,3.2,3.6,3.9,4.0,4.1,435117.0,432050.0,431758.0,434821.0,441133.0,438320.0,440211.0,443645.0,449431.0,452536.0,411363.0,409251.0,409924.0,414539.0,421639.0,398347.0,413517.0,425142.0,431564.0,434945.0,23754.0,22799.0,21834.0,20282.0,19494.0,39973.0,26694.0,18503.0,17867.0,17591.0
11020,"Altoona, PA",Pennsylvania,0.0,0.0,110170.10335737944,14603.888436534373,27308.123875308007,29289.127335388024,36868.42002195656,4042.6910408143913,17399.999999999898,424999.43856769614,822255.7092642968,623726.4172828355,515478.96738268615,0.0,0.0,890.873248347595,84950.00191126621,0.0,0.0,546.3682339462798,54243.3,13437.359078793515,0.029715140099711,2049503.83766894,17600.832806203845,105000.00000000004,5866.610209659552,32457.476665768936,64915.31129447751,819904.8083892467,0.0,0.0,11969.96259797604,47261.49310117272,0.0,0.0,1422918552434.964,1424735200000.0,1422925600000.0,1422918552434.9636,1413589542066.26,1421311565726.1843,653461641132.7944,1422925600000.0,78240606935.29724,1422925600000.0,1422925600000.0,0.0,0.0,144374240471.6414,1422918552434.964,0.0,0.0,27514334509.550644,27513984000.0,27514419287.0,27514334509.55064,27354368946.37236,27481063864.55537,12588620632.337408,27514419287.0,1735384992.0966349,27514419287.0,27514419287.0,0.0,0.0,2903496259.1482024,27514334509.550632,27514419287.0,122666.0,531.86361735,4919.0,4946.0,-27.0,9865.0,688.859927706642,633.0244860982867,923.6476600955584,946.3968512204592,"Altoona, PA",11020.0,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.3,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.7,2.9,2.9,61516.0,59531.0,58882.0,58301.0,58522.0,58397.0,57460.0,56992.0,57340.0,57654.0,58273.0,56318.0,55901.0,55690.0,55840.0,53306.0,54150.0,54501.0,55237.0,55616.0,3243.0,3213.0,2981.0,2611.0,2682.0,5091.0,3310.0,2491.0,2103.0,2038.0
