Crosswalk2023_CBSA Code,Crosswalk2023_CBSA Title,Crosswalk2023_State Name
10180,"Abilene, TX",Texas
10380,"Aguadilla, PR",Puerto Rico
10420,"Akron, OH",Ohio
10500,"Albany, GA",Georgia
10540,"Albany, OR",Oregon
10580,"Albany-Schenectady-Troy, NY",New York
10740,"Albuquerque, NM",New Mexico
10780,"Alexandria, LA",Louisiana
10900,"Allentown-Bethlehem-Easton, PA-NJ","New Jersey, Pennsylvania"
11020,"Altoona, PA",Pennsylvania
11100,"Amarillo, TX",Texas
11180,"Ames, IA",Iowa
11200,"Amherst Town-Northampton, MA",Massachusetts
11260,"Anchorage, AK",Alaska
11460,"Ann Arbor, MI",Michigan
11500,"Anniston-Oxford, AL",Alabama
11540,"Appleton, WI",Wisconsin
11640,"Arecibo, PR",Puerto Rico
11700,"Asheville, NC",North Carolina
12020,"Athens-Clarke County, GA",Georgia
12060,"Atlanta-Sandy Springs-Roswell, GA",Georgia
12100,"Atlantic City-Hammonton, NJ",New Jersey
12220,"Auburn-Opelika, AL",Alabama
12260,"Augusta-Richmond County, GA-SC","Georgia, South Carolina"
12420,"Austin-Round Rock-San Marcos, TX",Texas
12540,"Bakersfield-Delano, CA",California
12580,"Baltimore-Columbia-Towson, MD",Maryland
12620,"Bangor, ME",Maine
12700,"Barnstable Town, MA",Massachusetts
12940,"Baton Rouge, LA",Louisiana
12980,"Battle Creek, MI",Michigan
13020,"Bay City, MI",Michigan
13140,"Beaumont-Port Arthur, TX",Texas
13220,"Beckley, WV",West Virginia
13380,"Bellingham, WA",Washington
13460,"Bend, OR",Oregon
13740,"Billings, MT",Montana
13780,"Binghamton, NY",New York
13820,"Birmingham, AL",Alabama
13900,"Bismarck, ND",North Dakota
13980,"Blacksburg-Christiansburg-Radford, VA",Virginia
14010,"Bloomington, IL",Illinois
14020,"Bloomington, IN",Indiana
14260,"Boise City, ID",Idaho
14460,"Boston-Cambridge-Newton, MA-NH","Massachusetts, New Hampshire"
14500,"Boulder, CO",Colorado
14540,"Bowling Green, KY",Kentucky
14580,"Bozeman, MT",Montana
14740,"Bremerton-Silverdale-Port Orchard, WA",Washington
