HousingPI22_GEOID,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
10540,"Albany, OR",10540,2.8,2.6,2.6,2.5,2.3,2.2,2.1,1.9,1.9,1.9,2.0,2.2,2.3,2.6,2.8,3.0,3.0,3.1,3.2,3.2,3.3,3.5,3.5,3.5,3.6,3.9,4.3,4.5,4.3,4.2,4.0,4.0,3.8,3.9,4.0,4.1,4.2,4.4,4.6,4.6,4.7,5.4,6.2
10180,"Abilene, TX",10180,3.2,3.0,3.1,3.0,2.8,2.7,2.7,2.4,2.2,2.1,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.9,2.9,2.9,3.0,3.3,3.2,3.3,3.3,3.4,3.6,4.0,4.5
10420,"Akron, OH",10420,2.2,2.2,2.1,2.1,2.0,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.5,2.5,2.4,2.5,2.6,2.6,2.6,2.4,2.5,2.6,2.7,2.7,2.6,2.7,2.5,2.5,2.1,1.8,2.3,1.9,2.2,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3.1
10580,"Albany-Schenectady-Troy, NY",10580,2.3,2.3,2.3,2.3,2.4,2.5,2.8,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,2.9,2.8,2.7,2.6,2.4,2.4,2.6,2.7,3.0,3.3,3.6,3.7,3.6,3.5,3.3,3.4,3.3,3.4,3.3,3.3,3.2,3.1,3.0,2.9,3.0,3.1,3.3,3.4
10740,"Albuquerque, NM",10740,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.1,3.0,3.0,3.1,3.2,3.3,3.4,3.4,3.5,3.4,3.3,3.3,3.4,3.3,3.3,3.4,3.8,4.1,4.3,4.1,3.8,3.9,3.6,3.6,3.7,3.7,3.7,3.8,3.9,3.8,4.0,4.2,4.9,5.4
10780,"Alexandria, LA",10780,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.2,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.2,3.1,3.1,3.2,3.0,3.1,3.0,3.1,3.3,3.4,3.3,3.1,3.1,3.1,3.5,3.8
10900,"Allentown-Bethlehem-Easton, PA-NJ",10900,2.5,2.5,2.4,2.3,2.3,2.4,2.5,2.8,3.2,3.1,3.1,3.0,3.0,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.5,2.6,3.4,3.8,4.1,4.7,4.7,4.7,4.3,3.9,4.1,3.4,3.4,3.1,3.0,2.9,3.0,2.9,3.0,3.0,3.3,3.7,4.1
10500,"Albany, GA",10500,3.2,3.3,3.2,3.1,3.0,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.9,2.8,2.9,3.0,3.2,3.2,3.2,3.2,3.0,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.2,3.4,4.1
11020,"Altoona, PA",11020,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.4,2.5,2.5,2.5,2.7
11100,"Amarillo, TX",11100,2.5,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.3,2.1,2.1,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.8,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.9,2.9,3.0,2.9,3.1,3.5,3.7
