Crosswalk2023_CBSA Code,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
10100.0,23205.0,23569.0,23338.0,23177.0,23082.0,22888,22822.0,22321.0,22296.0,22363.0,22603.0,22952.0,22708.0,22591.0,22501.0,22026,22271.0,21872.0,21901.0,21970.0,602.0,617.0,630.0,586.0,581.0,862,551.0,449.0,395.0,393.0
10140.0,26989.0,28416.0,28736.0,29155.0,30196.0,29942,29462.0,29278.0,29028.0,29395.0,24520.0,26127.0,26765.0,27200.0,28050.0,26600,27376.0,27621.0,27316.0,27556.0,2469.0,2289.0,1971.0,1955.0,2146.0,3342,2086.0,1657.0,1712.0,1839.0
10180.0,74433.0,75307.0,76199.0,77324.0,79031.0,78666,80760.0,82450.0,84633.0,86805.0,71545.0,72353.0,73380.0,74757.0,76665.0,74302,77106.0,79593.0,81692.0,83807.0,2888.0,2954.0,2819.0,2567.0,2366.0,4364,3654.0,2857.0,2941.0,2998.0
10220.0,18176.0,17051.0,17162.0,17254.0,17530.0,17797,17807.0,18105.0,18509.0,19065.0,17470.0,16338.0,16514.0,16712.0,16976.0,16797,17147.0,17579.0,17925.0,18496.0,706.0,713.0,648.0,542.0,554.0,1000,660.0,526.0,584.0,569.0
10300.0,47708.0,48526.0,47767.0,47593.0,47141.0,46507,45956.0,46691.0,48175.0,49294.0,45321.0,46340.0,45581.0,45678.0,45307.0,42271,43569.0,44633.0,46213.0,46911.0,2387.0,2186.0,2186.0,1915.0,1834.0,4236,2387.0,2058.0,1962.0,2383.0
10380.0,73721.0,76566.0,77070.0,76029.0,76190.0,,81928.0,85933.0,87882.0,90760.0,62738.0,65351.0,66350.0,67260.0,68393.0,,74641.0,79549.0,81427.0,84395.0,10983.0,11215.0,10720.0,8769.0,7797.0,,7287.0,6384.0,6455.0,6365.0
10420.0,359963.0,363460.0,364564.0,361726.0,364455.0,355513,352021.0,353401.0,357656.0,360246.0,341928.0,345015.0,346409.0,345256.0,349068.0,327256,333266.0,339491.0,344302.0,344313.0,18035.0,18445.0,18155.0,16470.0,15387.0,28257,18755.0,13910.0,13354.0,15933.0
10460.0,25235.0,25133.0,24636.0,24295.0,24414.0,24540,24704.0,24559.0,24492.0,24378.0,23656.0,23574.0,23124.0,23094.0,23176.0,22576,22989.0,23526.0,23526.0,23310.0,1579.0,1559.0,1512.0,1201.0,1238.0,1964,1715.0,1033.0,966.0,1068.0
10480.0,12832.0,12328.0,12678.0,13195.0,13249.0,13021,12772.0,12761.0,12624.0,12645.0,12160.0,11786.0,12227.0,12658.0,12754.0,12203,11972.0,12258.0,12103.0,12011.0,672.0,542.0,451.0,537.0,495.0,818,800.0,503.0,521.0,634.0
10500.0,63791.0,64768.0,66733.0,65148.0,64677.0,64087,63637.0,63118.0,62583.0,62380.0,59256.0,60637.0,63005.0,61939.0,61819.0,59370,60273.0,60615.0,60158.0,59789.0,4535.0,4131.0,3728.0,3209.0,2858.0,4717,3364.0,2503.0,2425.0,2591.0
10540.0,55136.0,56167.0,57042.0,57912.0,58097.0,58908,60462.0,61229.0,61286.0,61796.0,51524.0,53005.0,54376.0,55260.0,55612.0,54360,57099.0,58558.0,58779.0,58938.0,3612.0,3162.0,2666.0,2652.0,2485.0,4548,3363.0,2671.0,2507.0,2858.0
10580.0,452372.0,455127.0,456239.0,457792.0,458969.0,455958,449723.0,451921.0,458175.0,456861.0,432143.0,436080.0,436817.0,440655.0,442828.0,424420,429952.0,438060.0,443826.0,441610.0,20229.0,19047.0,19422.0,17137.0,16141.0,31538,19771.0,13861.0,14349.0,15251.0
10620.0,28433.0,28324.0,28770.0,28808.0,29419.0,28186,28648.0,30429.0,32283.0,33312.0,26936.0,26991.0,27559.0,27735.0,28317.0,26378,27339.0,29398.0,31290.0,32290.0,1497.0,1333.0,1211.0,1073.0,1102.0,1808,1309.0,1031.0,993.0,1022.0
10660.0,16438.0,16035.0,15922.0,15774.0,15904.0,16029,15354.0,15466.0,15553.0,15894.0,15805.0,15414.0,15338.0,15249.0,15340.0,15108,14780.0,15074.0,15124.0,15439.0,633.0,621.0,584.0,525.0,564.0,921,574.0,392.0,429.0,455.0
10700.0,40674.0,39973.0,40522.0,41103.0,42273.0,42350,42271.0,42953.0,43867.0,44760.0,38315.0,37765.0,38851.0,39657.0,41114.0,40319,41228.0,42060.0,42937.0,43567.0,2359.0,2208.0,1671.0,1446.0,1159.0,2031,1043.0,893.0,930.0,1193.0
10740.0,423411.0,434627.0,437006.0,437532.0,442237.0,432465,441823.0,447518.0,457244.0,464045.0,397057.0,408349.0,412634.0,417401.0,421821.0,399796,413016.0,431011.0,441611.0,446147.0,26354.0,26278.0,24372.0,20131.0,20416.0,32669,28807.0,16507.0,15633.0,17898.0
10760.0,18873.0,16671.0,16488.0,16333.0,16703.0,16461,16215.0,15972.0,15993.0,16436.0,17721.0,15638.0,15694.0,15585.0,16108.0,15104,15515.0,15493.0,15573.0,15882.0,1152.0,1033.0,794.0,748.0,595.0,1357,700.0,479.0,420.0,554.0
10780.0,66329.0,67527.0,66145.0,65591.0,65127.0,64232,64986.0,65286.0,64396.0,64356.0,62017.0,63444.0,62494.0,62237.0,61996.0,60076,62334.0,63206.0,62172.0,61719.0,4312.0,4083.0,3651.0,3354.0,3131.0,4156,2652.0,2080.0,2224.0,2637.0
10820.0,20250.0,20118.0,20441.0,20471.0,20982.0,21237,21024.0,21117.0,21327.0,21447.0,19544.0,19411.0,19786.0,19869.0,20299.0,20198,20383.0,20641.0,20746.0,20857.0,706.0,707.0,655.0,602.0,683.0,1039,641.0,476.0,581.0,590.0
10860.0,21732.0,20695.0,19787.0,20122.0,20099.0,19355,18899.0,18611.0,18923.0,18681.0,19955.0,18580.0,18329.0,19056.0,19194.0,17003,17154.0,17604.0,17995.0,17742.0,1777.0,2115.0,1458.0,1066.0,905.0,2352,1745.0,1007.0,928.0,939.0
