GEOID,Metro Area,GEOID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10540,"Albany, OR",10540,3.2,2.9,2.8,2.8,2.5,2.4,2.3,2.1,2.0,2.0,2.2,2.3,2.5,2.8,3.0,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.7,3.7,3.7,4.0,4.4,4.5,4.3,4.2,3.9,3.8,3.6,3.7,3.9,4.0,4.1,4.4,4.6,4.5,4.5,5.1,5.7,5.7,5.7
10180,"Abilene, TX",10180,3.1,2.9,2.9,2.9,2.7,2.6,2.6,2.4,2.2,2.1,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.9,2.9,2.9,3.0,3.3,3.2,3.3,3.3,3.4,3.6,3.8,4.2,3.9,4.0
10500,"Albany, GA",10500,3.2,3.3,3.2,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.7,2.7,2.7,2.6,2.6,2.5,2.6,2.5,2.5,2.6,2.6,2.7,2.8,2.9,2.9,2.9,3.0,3.1,3.1,3.2,3.1,2.9,2.8,2.8,2.9,3.0,3.1,3.2,3.3,3.2,3.4,3.6,4.1,4.2,4.3
10420,"Akron, OH",10420,2.2,2.2,1.9,2.1,1.9,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.5,2.5,2.4,2.5,2.6,2.6,2.6,2.4,2.5,2.6,2.7,2.7,2.6,2.7,2.5,2.5,2.1,1.8,2.3,1.9,2.2,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.8,2.9
10580,"Albany-Schenectady-Troy, NY",10580,2.3,2.3,2.3,2.3,2.4,2.5,2.8,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,2.9,2.8,2.7,2.6,2.4,2.4,2.6,2.7,3.0,3.3,3.6,3.7,3.6,3.5,3.3,3.4,3.3,3.4,3.3,3.3,3.2,3.1,3.0,2.9,3.0,3.1,3.3,3.4,3.6,3.7
10740,"Albuquerque, NM",10740,3.5,3.5,3.2,3.4,3.3,3.3,3.3,3.3,3.2,3.1,3.0,3.0,3.1,3.2,3.3,3.4,3.4,3.5,3.4,3.3,3.3,3.4,3.3,3.3,3.4,3.8,4.1,4.3,4.1,3.8,3.9,3.6,3.6,3.7,3.7,3.7,3.8,3.9,3.8,4.0,4.2,4.8,5.2,5.2,5.3
10780,"Alexandria, LA",10780,3.2,3.3,3.4,3.5,3.4,3.3,3.4,3.2,3.0,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.2,3.3,3.2,3.1,3.0,3.1,3.2,3.3,3.4,3.4
10900,"Allentown-Bethlehem-Easton, PA-NJ",10900,2.5,2.5,2.4,2.3,2.3,2.4,2.5,2.9,3.2,3.1,3.1,3.0,3.0,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.5,2.6,3.4,3.8,4.1,4.7,4.7,4.7,4.3,3.9,4.1,3.4,3.4,3.1,3.0,2.9,3.0,2.9,3.0,3.0,3.2,3.6,3.9,4.0,4.1
11020,"Altoona, PA",11020,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.3,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.7,2.9,2.9
11100,"Amarillo, TX",11100,2.6,2.6,2.3,2.5,2.6,2.5,2.5,2.5,2.3,2.1,2.1,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.8,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.2,3.4,3.5,3.5,3.5
